observationID,recordKey,gridReference,siteKey,siteName,featureKey,startDate,endDate,pTaxonVersionKey,taxonName,authority,commonName
463166539,1767,SM90,,,150161,12/02/2006,12/02/2006,NBNSYS0100004720,Pipistrellus pygmaeus,"(Leach, 1825)",Soprano Pipistrelle
463166623,4325,TL65,,,168651,21/12/2008,21/12/2008,NHMSYS0020001355,Pipistrellus pipistrellus sensu stricto,"(Schreber, 1774)",Common Pipistrelle
463166624,4326,TL65,,,168651,18/01/2009,18/01/2009,NHMSYS0020001355,Pipistrellus pipistrellus sensu stricto,"(Schreber, 1774)",Common Pipistrelle
463166625,4327,TL65,,,168651,15/02/2009,15/02/2009,NHMSYS0020001355,Pipistrellus pipistrellus sensu stricto,"(Schreber, 1774)",Common Pipistrelle
463166626,4328,TL65,,,168651,19/12/2009,19/12/2009,NHMSYS0020001355,Pipistrellus pipistrellus sensu stricto,"(Schreber, 1774)",Common Pipistrelle
463166627,4329,TL65,,,168651,10/01/2010,10/01/2010,NHMSYS0020001355,Pipistrellus pipistrellus sensu stricto,"(Schreber, 1774)",Common Pipistrelle
463166628,4330,TL65,,,168651,20/02/2010,20/02/2010,NHMSYS0020001355,Pipistrellus pipistrellus sensu stricto,"(Schreber, 1774)",Common Pipistrelle
463166629,4331,TL65,,,168651,19/12/2010,19/12/2010,NHMSYS0020001355,Pipistrellus pipistrellus sensu stricto,"(Schreber, 1774)",Common Pipistrelle
463166630,4332,TL65,,,168651,09/01/2011,09/01/2011,NHMSYS0020001355,Pipistrellus pipistrellus sensu stricto,"(Schreber, 1774)",Common Pipistrelle
463166631,4333,TL65,,,168651,13/02/2011,13/02/2011,NHMSYS0020001355,Pipistrellus pipistrellus sensu stricto,"(Schreber, 1774)",Common Pipistrelle
463166743,23494,SY28,,,159333,10/12/1983,10/12/1983,NHMSYS0000528026,Myotis brandtii,"(Eversmann, 1845)",Brandt's Bat
463166262,17276,SU62,19784006,10032,160917,14/01/2007,14/01/2007,NBNSYS0100004720,Pipistrellus pygmaeus,"(Leach, 1825)",Soprano Pipistrelle
463166062,16808,TF28,,,164787,12/02/2006,12/02/2006,NHMSYS0000080178,Barbastella barbastellus,"(Schreber, 1774)",Western Barbastelle
463166034,3500,TF28,,,164787,09/01/2011,09/01/2011,NHMSYS0000080178,Barbastella barbastellus,"(Schreber, 1774)",Western Barbastelle
463165994,13775,SK83,,,149657,22/02/2002,22/02/2002,NHMSYS0000080178,Barbastella barbastellus,"(Schreber, 1774)",Western Barbastelle
463165991,13772,SK83,,,149657,26/01/2002,26/01/2002,NHMSYS0000080178,Barbastella barbastellus,"(Schreber, 1774)",Western Barbastelle
463165989,13770,SK83,,,149657,07/02/2001,07/02/2001,NHMSYS0000080178,Barbastella barbastellus,"(Schreber, 1774)",Western Barbastelle
463165977,13243,NY83,,,136272,22/02/1987,22/02/1987,NHMSYS0000528026,Myotis brandtii,"(Eversmann, 1845)",Brandt's Bat
463165536,292,SX37,,,158400,27/02/2008,27/02/2008,NHMSYS0000080178,Barbastella barbastellus,"(Schreber, 1774)",Western Barbastelle
